name;mfr;type;calories;protein;fat;sodium;fiber;carbo;sugars;potass
Grape Nuts Flakes;P;C;350,88;10,53;3,51;491,23;10,53;52,63;17,54;298,25
Grape-Nuts;P;C;385,96;10,53;0;596,49;10,53;59,65;10,53;315,79
Great Grains Pecan;P;C;421,05;10,53;10,53;263,16;10,53;45,61;14,04;350,88
Honey Graham Ohs;Q;C;421,05;3,51;7,02;771,93;3,51;42,11;38,6;157,89
Honey Nut Cheerios;G;C;385,96;10,53;3,51;877,19;5,26;40,35;35,09;315,79
Honey-comb;P;C;385,96;3,51;0;631,58;0;49,12;38,6;122,81
Just Right Crunchy  Nuggets;K;C;385,96;7,02;3,51;596,49;3,51;59,65;21,05;210,53
Just Right Fruit & Nut;K;C;377,87;8,1;2,7;458,84;5,4;53,98;24,29;256,41
Kix;G;C;385,96;7,02;3,51;912,28;0;73,68;10,53;140,35
Life;Q;C;350,88;14,04;7,02;526,32;7,02;42,11;21,05;333,33
Lucky Charms;G;C;385,96;7,02;3,51;631,58;0;42,11;42,11;192,98
Maypo;A;H;350,88;14,04;3,51;0;0;56,14;10,53;333,33
"Muesli Raisins; Dates; & Almonds";R;C;526,32;14,04;10,53;333,33;10,53;56,14;38,6;596,49
"Muesli Raisins; Peaches; & Pecans";R;C;526,32;14,04;10,53;526,32;10,53;56,14;38,6;596,49
Mueslix Crispy Blend;K;C;374,27;7,02;4,68;350,88;7,02;39,77;30,41;374,27
Multi-Grain Cheerios;G;C;350,88;7,02;3,51;771,93;7,02;52,63;21,05;315,79
Nut&Honey Crunch;K;C;421,05;7,02;3,51;666,67;0;52,63;31,58;140,35
Nutri-Grain Almond-Raisin;K;C;369,34;7,91;5,28;580,4;7,91;55,4;18,47;342,96
Nutri-grain Wheat;K;C;315,79;10,53;0;596,49;10,53;63,16;7,02;315,79
Oatmeal Raisin Crisp;G;C;364,91;8,42;5,61;477,19;4,21;37,89;28,07;336,84
Post Nat. Raisin Bran;P;C;316,58;7,91;2,64;527,63;15,83;29,02;36,93;685,93
Product 19;K;C;350,88;10,53;0;1122,81;3,51;70,18;10,53;157,89
Puffed Rice;Q;C;350,88;7,02;0;0;0;91,23;0;105,26
Puffed Wheat;Q;C;350,88;14,04;0;0;7,02;70,18;0;350,88
Quaker Oat Squares;Q;C;350,88;14,04;3,51;473,68;7,02;49,12;21,05;385,96
Quaker Oatmeal;Q;H;350,88;17,54;7,02;0;9,47;-1;-1;385,96
Raisin Bran;K;C;316,58;7,91;2,64;554,02;13,19;36,93;31,66;633,16
Raisin Nut Bran;G;C;350,88;10,53;7,02;491,23;8,77;36,84;28,07;491,23
Raisin Squares;K;C;315,79;7,02;0;0;7,02;52,63;21,05;385,96
Rice Chex;R;C;385,96;3,51;0;842,11;0;80,7;7,02;105,26
Rice Krispies;K;C;385,96;7,02;0;1017,54;0;77,19;10,53;122,81
Shredded Wheat;N;C;338,19;8,45;0;0;12,68;67,64;0;401,61
Shredded Wheat 'n'Bran;N;C;315,79;10,53;0;0;14,04;66,67;0;491,23
Shredded Wheat spoon size;N;C;315,79;10,53;0;0;10,53;70,18;0;421,05
Smacks;K;C;385,96;7,02;3,51;245,61;3,51;31,58;52,63;140,35
Special K;K;C;385,96;21,05;0;807,02;3,51;56,14;10,53;192,98
Strawberry Fruit Wheats;N;C;315,79;7,02;0;52,63;10,53;52,63;17,54;315,79
Total Corn Flakes;G;C;385,96;7,02;3,51;701,75;0;73,68;10,53;122,81
Total Raisin Bran;G;C;327,49;7,02;2,34;444,44;9,36;35,09;32,75;538,01
Total Whole Grain;G;C;350,88;10,53;3,51;701,75;10,53;56,14;10,53;385,96
Triples;G;C;385,96;7,02;3,51;877,19;0;73,68;10,53;210,53
Trix;G;C;385,96;3,51;3,51;491,23;0;45,61;42,11;87,72
Wheat Chex;R;C;350,88;10,53;3,51;807,02;10,53;59,65;10,53;403,51
Wheaties;G;C;350,88;10,53;3,51;701,75;10,53;59,65;10,53;385,96
Wheaties Honey Gold;G;C;385,96;7,02;3,51;701,75;3,51;56,14;28,07;210,53
